id,fecha,canal,consulta,categoria,motivo,respuesta
C011,13/03/2026,formulario,¿Qué productos incluye el catálogo?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.71, groundedness=0.74","El catálogo incluye una variedad de productos y servicios, como sistemas de seguridad, iluminación, puertas, ventanas, sistemas de climatización, y otros elementos de construcción y mantenimiento."
C012,17/03/2026,correo,¿Puedo modificar mi solicitud antes de que la aprueben?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.78, groundedness=0.81","Sí, puedes modificar tu solicitud antes de que la aprueben. De acuerdo con las Preguntas Frecuentes de Valtx, es posible modificar una solicitud ya enviada antes de la aprobación."
C013,19/03/2026,chat,¿A qué se refiere el código COD-ALF?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.60, groundedness=0.70","Lo siento, pero no tengo información específica sobre el código COD-ALF en el contexto de la solicitud. No puedo proporcionar una respuesta a esta pregunta."
C014,23/03/2026,correo,¿La garantía cubre defectos de fábrica?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.76, groundedness=0.81","Sí, la garantía cubre defectos de fábrica durante 12 meses desde la fecha de compra."
C015,25/03/2026,teléfono,¿Necesito el número de solicitud para devolver?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.70, groundedness=0.70","Para devolver un producto, necesitarás el número de solicitud y la referencia de devolución proporcionada por nuestro equipo de atención al cliente."
C016,27/03/2026,chat,¿Cómo pido el Servicio Gamma?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.63, groundedness=0.85","Para solicitar el Servicio Gamma, sigue estos pasos:

1. Ingresar al portal interno y abrir el formulario F-01.
2. Buscar el código del Servicio Gamma en el catálogo y seleccionarlo.
3. Indicar la cantidad y el área solicitante.
4. Adjuntar la justificación si el monto supera el límite del área.
5. Enviar el formulario."
C017,1/04/2026,correo,¿El empaque original es obligatorio para la devolución?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.67, groundedness=0.72","Sí, el empaque original es obligatorio para la devolución. Debe estar completo y sin daños para que se acepte la devolución."
C018,3/04/2026,formulario,¿Desde cuándo cuentan los 15 días de devolución?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.73, groundedness=0.80",Los 15 días de devolución contan desde la fecha de recepción del producto.
C019,7/04/2026,chat,¿Qué pasos sigo para solicitar el Producto Beta?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.73, groundedness=0.88","Para solicitar el Producto Beta, sigue los siguientes pasos:

1. Ingresar al portal interno y abrir el formulario F-01 (Solicitud de producto/servicio).
2. Indicar el código del producto (Producto Beta) y la cantidad solicitada.
3. Adjuntar la justificación cuando el monto supere el límite del área.
4. Enviar el formulario."
C020,9/04/2026,correo,¿Hay algún descuento por volumen?,RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.69, groundedness=0.88","Sí, hay descuentos por volumen. Están disponibles para pedidos de 50 unidades o más, con un descuento del 5% y pedidos de 100 unidades o más, con un descuento del 10%."
C021,14/04/2026,chat,¿Puedo pedir varios productos en una sola solicitud?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.74, groundedness=0.77","Sí, puedes pedir varios productos en una sola solicitud, una línea por ítem."
C022,16/04/2026,correo,¿Cuánto dura la garantía?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.65, groundedness=0.72",La garantía dura 12 meses desde la fecha de compra.
C023,18/04/2026,correo,"Necesito un descuento mayor al de la tabla, ¿pueden hacer una excepción?",REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C024,21/04/2026,teléfono,"Tengo una queja sobre la atención que recibí, ¿con quién hablo?",REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C025,23/04/2026,correo,Quiero negociar las condiciones de pago para mi área.,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C026,25/04/2026,chat,"Un producto llegó dañado y ya pasó el plazo de devolución, ¿qué hacen?",RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.77, groundedness=0.79","En caso de que un producto llegue dañado y ya haya pasado el plazo de devolución, se le solicitará al cliente que complete un caso especial para evaluar la situación. El equipo comercial revisará el caso y, en su evaluación, se tomará una decisión sobre si se puede aceptar la devolución o no."
C027,28/04/2026,correo,Necesito aprobar una compra urgente fuera del proceso normal.,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C028,2/05/2026,teléfono,Requiero una cotización a medida para un proyecto grande.,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C029,5/05/2026,correo,"Mi caso es especial, ¿pueden revisarlo manualmente?",AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C030,7/05/2026,chat,"Quisiera proponer trabajar con un nuevo proveedor, ¿a quién contacto?",RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.64, groundedness=0.67","Lo siento, pero no tengo información sobre cómo contactar con un nuevo proveedor."
C031,9/05/2026,correo,"El producto que recibí no es lo que esperaba, quiero reclamar.",RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.72, groundedness=0.85","Para reclamar un producto, debes seguir los siguientes pasos: 1) Ingresar al portal interno y abrir el formulario F-01, 2) indicar el código del producto y la justificación de la reclamación, 3) adjuntar cualquier evidencia necesaria y 4) enviar el formulario."
C032,12/05/2026,teléfono,¿Pueden hacerme una excepción con el plazo de entrega?,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C033,14/05/2026,chat,¿Cuál es el precio actual del Producto Alfa?,INFO_TEMPORAL,router,"Ese dato (precio, stock o promoción) se gestiona en el sistema comercial y cambia con frecuencia. Te derivo con el equipo comercial para confirmar el valor vigente."
C034,16/05/2026,correo,¿Hay stock disponible del Producto Beta hoy?,INFO_TEMPORAL,router,"Ese dato (precio, stock o promoción) se gestiona en el sistema comercial y cambia con frecuencia. Te derivo con el equipo comercial para confirmar el valor vigente."
C035,19/05/2026,chat,¿Qué promoción está vigente este mes?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C036,21/05/2026,correo,¿Sigue vigente el descuento de fin de año?,RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.59, groundedness=0.61","No, no se menciona que el descuento de fin de año siga vigente."
C037,23/05/2026,teléfono,¿Quién es el responsable de compras actualmente?,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C038,26/05/2026,chat,¿Cuál es el tipo de cambio que usan hoy para cotizar?,INFO_TEMPORAL,router,"Ese dato (precio, stock o promoción) se gestiona en el sistema comercial y cambia con frecuencia. Te derivo con el equipo comercial para confirmar el valor vigente."
C039,28/05/2026,correo,¿Cuándo llega el próximo lote del Producto Gamma?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C040,1/06/2026,chat,¿El precio de la lista de enero sigue igual?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C041,3/06/2026,formulario,¿Cuál es la fecha límite para pedidos de este trimestre?,RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.62, groundedness=0.77","Lo siento, pero no tengo información sobre la fecha límite de pedidos para este trimestre. La política de descuentos por volumen del pedido se describe en este documento, pero no se menciona una fecha límite específica."
C042,5/06/2026,correo,¿Cuánto cuesta ahora el Servicio Gamma con la promo?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C043,8/06/2026,chat,¿Cómo reseteo mi contraseña del correo?,FUERA_DE_ALCANCE,router,"Esa consulta no corresponde a productos, procesos ni políticas comerciales. Si es un tema interno, contacta al área correspondiente."
C044,10/06/2026,correo,¿Cuándo pagan los sueldos este mes?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.56, groundedness=0.64","Lo siento, pero no tengo información sobre pagos de sueldos. Esta pregunta no está incluida en el fragmento de contexto proporcionado."
C045,12/06/2026,teléfono,"Se me malogró la laptop, ¿a quién reporto?",RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.60, groundedness=0.62","Parece que no hay información específica sobre cómo reportar un problema con una laptop en el contexto proporcionado. Sin embargo, puedo sugerirte que contactar a soporte técnico de Valtx para obtener asistencia."
C046,15/06/2026,chat,¿Cómo solicito mis vacaciones?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.67, groundedness=0.71","Lo siento, pero no tengo información sobre el proceso de solicitud de vacaciones. Es posible que debas consultar la sección de ""Beneficios"" o ""Políticas de empleo"" en el portal de Valtx para obtener más información."
C047,17/06/2026,correo,¿Dónde queda la oficina de recursos humanos?,FUERA_DE_ALCANCE,router,"Esa consulta no corresponde a productos, procesos ni políticas comerciales. Si es un tema interno, contacta al área correspondiente."
C048,19/06/2026,chat,"Necesito acceso al sistema de facturación, ¿cómo lo pido?",RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.60, groundedness=0.63","Lo siento, pero no puedo proporcionar información sobre cómo acceder al sistema de facturación."
C049,22/06/2026,correo,¿Tienen un comedor en la oficina?,FUERA_DE_ALCANCE,router,"Esa consulta no corresponde a productos, procesos ni políticas comerciales. Si es un tema interno, contacta al área correspondiente."
C050,24/06/2026,chat,"Hola, tengo una duda.",AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C051,26/06/2026,correo,¿Me pueden ayudar con lo de ayer?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C052,29/06/2026,chat,No entiendo el proceso.,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C053,1/07/2026,teléfono,¿Eso se puede?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C054,3/07/2026,chat,Quiero información.,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C055,6/07/2026,correo,¿Cuánto cuesta?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C056,8/07/2026,chat,¿Y ahora qué hago?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C057,10/07/2026,correo,¿Cuál es el tiempo de atención (SLA) de una solicitud?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.68, groundedness=0.69","Lo siento, no tengo información específica sobre el tiempo de atención (SLA) de una solicitud en Valtx. No puedo proporcionar una respuesta precisa a esta pregunta."
C058,13/07/2026,chat,¿Cuántos días demora la entrega de un producto?,AMBIGUA,router,"No tengo claro a qué te refieres. ¿Podrías dar más detalle (catálogo, solicitud, devolución, garantía o descuentos)?"
C059,15/07/2026,correo,¿Puedo pagar en cuotas?,RESPONDE_DOCUMENTO,"chunk=FAQ, score=0.58, groundedness=0.64","Lo siento, pero no tengo información sobre pagos en cuotas. No se menciona esta opción en las preguntas frecuentes proporcionadas."
C060,17/07/2026,chat,¿Ofrecen soporte técnico después de la compra?,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C061,20/07/2026,correo,¿Tienen certificaciones de calidad?,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C062,22/07/2026,chat,¿Cuál es la política de confidencialidad de datos?,RESPONDE_DOCUMENTO,"chunk=DESCUENTOS, score=0.66, groundedness=0.73","Lo siento, pero no tengo información sobre la política de confidencialidad de datos en este documento. La política de confidencialidad de datos no está mencionada en el fragmento de contexto proporcionado."
C063,24/07/2026,formulario,¿Hacen envíos a provincia?,REQUIERE_HUMANO,similitud baja (0.53),Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C064,27/07/2026,chat,¿Cómo pido un producto?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.71, groundedness=0.88","Para pedir un producto, debes ingresar al portal interno, abrir el formulario F-01 y indicar el código del producto o servicio que deseas solicitar, junto con la cantidad y el área solicitante."
C065,29/07/2026,correo,¿Cuánto tiempo tengo para devolver algo?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.69, groundedness=0.81",Tienes 15 días calendario desde la recepción del producto para devolverlo.
C066,31/07/2026,chat,¿Cómo hago una devolución?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.72, groundedness=0.78","Para realizar una devolución, debes contactar a nuestro equipo comercial a través de nuestro número de atención al cliente o correo electrónico proporcionados. Proporciona la documentación necesaria, como el producto sin uso, el empaque original y el número de solicitud, y nuestro equipo se encargará de procesar tu solicitud de devolución."
C067,3/08/2026,correo,¿Cuánto dura la garantía de los productos?,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.73, groundedness=0.77","La garantía de los productos de Valtx dura 12 meses desde la fecha de compra, cubriendo defectos de fábrica."
C068,5/08/2026,chat,¿Dónde está el formulario para solicitar?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.74, groundedness=0.81",El formulario F-01 para solicitar un producto o servicio se encuentra dentro del portal interno de Valtx.
C069,7/08/2026,chat,kiero saber komo debuelvo un producto porfa,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.59, groundedness=0.82","Lo siento, pero no tengo información sobre cómo cancelar una solicitud de producto o servicio. Puedes intentar modificar la solicitud para que no sea aprobada o cancelarla antes de que sea revisada y aprobada."
C070,10/08/2026,correo,COMO SOLICITO UN SERVICIO???,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.74, groundedness=0.95","Para solicitar un servicio, sigue estos pasos:

1. Ingresar al portal interno y abrir el formulario F-01 (Solicitud de producto/servicio).
2. Indicar el código del servicio, la cantidad y el área solicitante.
3. Adjuntar la justificación cuando el monto supere el límite del área.
4. Enviar el formulario.
5. La solicitud pasa a revisión y aprobación, donde puedes modificar o cancelar si no ha sido aprobada."
C071,12/08/2026,chat,plazo devolucion?? urgente,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C072,14/08/2026,formulario,hola necesito el formularioo de solicitud grcs,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.67, groundedness=0.84","Parece que estás buscando el formulario F-01 de solicitud de producto o servicio. Puedes encontrarlo en el portal interno de Valtx, específicamente en la sección de solicitud de productos y servicios. Verifica que estés en la sección correcta y busca el formulario F-01 para acceder a él."
C073,17/08/2026,chat,garantia cuanto es,RESPONDE_DOCUMENTO,"chunk=DEVOLUCIONES_GARANTIA, score=0.65, groundedness=0.80",La garantía de Valtx cubre defectos de fábrica durante 12 meses calendario desde la fecha de compra del producto.
C074,19/08/2026,correo,descuento x 200 unidades??,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C075,21/08/2026,chat,¿El Producto Alfa viene con garantía extendida?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.69, groundedness=0.69","No tengo información específica sobre el producto ""Alfa"" en el contexto proporcionado. No puedo confirmar si el Producto Alfa viene con garantía extendida."
C076,24/08/2026,correo,Quiero un reembolso completo aunque usé el producto.,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.72, groundedness=0.77","Lo siento, pero no puedo proporcionar asistencia para solicitar un reembolso completo por un producto utilizado."
C077,26/08/2026,chat,¿Cuál es el mejor producto para mi caso?,REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
C078,28/08/2026,correo,¿Cuánto stock queda del Alfa esta semana?,INFO_TEMPORAL,router,"Ese dato (precio, stock o promoción) se gestiona en el sistema comercial y cambia con frecuencia. Te derivo con el equipo comercial para confirmar el valor vigente."
C079,31/08/2026,chat,¿Cómo solicito un producto del catalogo?,RESPONDE_DOCUMENTO,"chunk=COMO_SOLICITAR, score=0.80, groundedness=0.88","Para solicitar un producto del catálogo, debes ingresar al portal interno de Valtx, abrir el formulario F-01 (Solicitud de producto/servicio) y seleccionar el código del producto deseado. Luego, indica la cantidad y el área solicitante, y adjunta la justificación si es necesario."
C080,2/09/2026,teléfono,"Necesito hablar con alguien, es complicado de explicar por chat.",REQUIERE_HUMANO,router,Este caso requiere evaluación de una persona del equipo comercial. Te voy a derivar con el equipo.
